Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
1986,I,1651,1.38,-6.63,-5.26,18-May-1986,24-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1986,J,1683,1.17,-6.03,-4.86,18-May-1986,24-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1986,P1,1864,2.74,-3.02,-0.28,18-May-1986,24-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1986,B,2041,2.84,-2.73,0.1,18-May-1986,24-Oct-1986,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,I,1646,1.72,-7.04,-5.32,18-Apr-1987,31-Oct-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,J,1669,1.49,-6.54,-5.05,18-Apr-1987,31-Oct-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,F,1731,2.01,-5.58,-3.57,18-Apr-1987,31-Oct-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,P1,1861,2.2,-4.55,-2.35,18-Apr-1987,31-Oct-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,C,1961,2.2,-3.36,-1.16,18-Apr-1987,31-Oct-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1987,A,2063,2.05,-2.98,-0.93,18-Apr-1987,31-Oct-1987,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1988,P1,1853,2.25,-3.55,-1.3,08-Apr-1988,14-Oct-1988,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,J,1661,1.07,-7.19,-6.12,07-Apr-1989,10-Oct-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,K,1741,2.51,-5.02,-2.51,07-Apr-1989,10-Oct-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,P1,1861,2.82,-3.21,-0.39,07-Apr-1989,10-Oct-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,C,1966,2.78,-2.74,0.04,07-Apr-1989,10-Oct-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1989,A,2071,2.5,-2.74,-0.24,07-Apr-1989,10-Oct-1989,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,J,1661,0.58,-3.22,-2.64,29-Apr-1990,01-Oct-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,K,1751,1.82,-1.44,0.38,29-Apr-1990,01-Oct-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,P1,1846,2.79,-3.15,-0.36,29-Apr-1990,01-Oct-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,C,1959,2.83,-3.62,-0.79,29-Apr-1990,01-Oct-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1990,B,2052,3.17,-2.25,0.92,29-Apr-1990,01-Oct-1990,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,J,1652,1.53,-6.76,-5.23,15-Apr-1991,16-Oct-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,K,1746,3.64,-4.54,-0.9,15-Apr-1991,16-Oct-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,P1,1851,3.86,-3.56,0.3,15-Apr-1991,16-Oct-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1991,A,2057,3.93,-3.32,0.61,15-Apr-1991,16-Oct-1991,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,L,1686,0.49,-6.59,-6.1,30-Apr-1992,12-Oct-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,K,1762,1.07,-5.63,-4.56,30-Apr-1992,12-Oct-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,P1,1853,2.06,-4.39,-2.33,30-Apr-1992,12-Oct-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,C,1962,2.27,-3.56,-1.29,30-Apr-1992,12-Oct-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1992,B,2046,2.44,-2.78,-0.34,30-Apr-1992,12-Oct-1992,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,L,1652,0.55,-6.99,-6.44,02-May-1993,14-Oct-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,K,1736,2.35,-4.55,-2.2,02-May-1993,14-Oct-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,P1,1845,2.12,-3.28,-1.16,02-May-1993,14-Oct-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,C,1946,1.85,-1.78,0.06,02-May-1993,14-Oct-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1993,B,2046,2.23,-2.15,0.08,02-May-1993,14-Oct-1993,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1994,L,1656,1.68,-6.81,-5.13,14-Apr-1994,10-Oct-1994,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1994,F,1725,1.82,-5.76,-3.94,14-Apr-1994,10-Oct-1994,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
1994,P1,1835,2.4,-4.16,-1.76,14-Apr-1994,10-Oct-1994,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
